"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2021","15,644.97","15,752.27","15,901.47","14,860.04","22.79B","0.69%"
"11/01/2021","15,537.69","15,541.26","16,212.23","15,451.39","21.65B","0.25%"
"10/01/2021","15,498.39","14,494.93","15,504.12","14,181.69","18.71B","7.27%"
"09/01/2021","14,448.58","15,308.98","15,403.44","14,444.30","20.39B","-5.31%"
"08/01/2021","15,259.24","14,758.60","15,288.08","14,423.16","17.68B","4.00%"
"07/01/2021","14,672.68","14,493.69","14,863.65","14,178.66","17.46B","1.16%"
"06/01/2021","14,503.95","13,829.06","14,535.97","13,548.93","24.05B","5.49%"
"05/01/2021","13,748.74","14,031.77","14,042.12","13,002.53","18.49B","-1.53%"
"04/01/2021","13,962.68","13,414.33","14,211.57","13,404.18","18.51B","5.40%"
"03/01/2021","13,246.87","13,406.16","13,620.71","12,397.05","29.12B","0.41%"
"02/01/2021","13,192.35","13,226.18","14,175.11","13,003.98","27.40B","0.93%"
"01/01/2021","13,070.69","12,958.52","13,728.98","12,543.24","26.55B","1.42%"
"12/01/2020","12,888.28","12,313.36","12,973.33","12,214.74","23.50B","5.65%"
"11/01/2020","12,198.74","11,010.45","12,244.65","10,830.94","19.47B","11.80%"
"10/01/2020","10,911.59","11,291.99","11,965.54","10,822.57","16.77B","-2.29%"
"09/01/2020","11,167.68","11,850.96","12,074.07","10,519.49","20.52B","-5.16%"
"08/01/2020","11,775.46","10,848.64","11,829.84","10,762.71","17.24B","9.59%"
"07/01/2020","10,745.27","10,063.67","10,839.93","10,048.04","20.68B","6.82%"
"06/01/2020","10,058.76","9,471.42","10,221.85","9,403.00","27.30B","5.99%"
"05/01/2020","9,489.87","8,681.29","9,523.64","8,537.83","18.17B","6.75%"
"04/01/2020","8,889.55","7,459.50","8,957.26","7,288.11","18.76B","15.45%"
"03/01/2020","7,700.10","8,667.14","9,070.32","6,631.42","25.11B","-10.12%"
"02/01/2020","8,567.37","9,190.72","9,838.37","8,264.16","13.39B","-6.38%"
"01/01/2020","9,150.94","9,039.46","9,451.43","8,943.50","12.89B","1.99%"
"12/01/2019","8,972.60","8,672.84","9,052.00","8,435.40","12.25B","3.54%"
"11/01/2019","8,665.47","8,335.05","8,705.91","8,326.56","10.75B","4.50%"
"10/01/2019","8,292.36","8,026.83","8,335.56","7,700.00","11.23B","3.66%"
"09/01/2019","7,999.33","7,906.44","8,243.80","7,847.32","11.51B","0.46%"
"08/01/2019","7,962.88","8,190.56","8,311.04","7,662.90","11.99B","-2.60%"
"07/01/2019","8,175.42","8,145.85","8,339.64","8,059.29","11.14B","2.11%"
"06/01/2019","8,006.24","7,441.22","8,088.88","7,292.22","12.57B","7.42%"
"05/01/2019","7,453.15","8,132.93","8,164.71","7,448.23","12.28B","-7.93%"
"04/01/2019","8,095.39","7,800.24","8,176.08","7,777.10","10.75B","4.74%"
"03/01/2019","7,729.32","7,587.45","7,850.10","7,332.92","13.04B","2.61%"
"02/01/2019","7,532.53","7,256.37","7,602.69","7,225.14","10.64B","3.44%"
"01/01/2019","7,281.74","6,506.91","7,303.12","6,457.13","12.23B","9.74%"
"12/01/2018","6,635.28","7,486.13","7,486.51","6,190.17","13.12B","-9.48%"
"11/01/2018","7,330.54","7,327.82","7,572.93","6,830.76","12.57B","0.34%"
"10/01/2018","7,305.90","8,091.50","8,107.38","6,922.83","14.83B","-9.20%"
"09/01/2018","8,046.35","8,087.95","8,104.07","7,873.93","11.15B","-0.78%"
"08/01/2018","8,109.54","7,701.82","8,133.30","7,659.52","10.70B","5.71%"
"07/01/2018","7,671.79","7,451.90","7,933.31","7,443.10","9.42B","2.15%"
"06/01/2018","7,510.30","7,487.66","7,806.60","7,419.56","12.84B","0.92%"
"05/01/2018","7,442.12","7,053.65","7,492.42","6,991.14","10.64B","5.32%"
"04/01/2018","7,066.27","7,016.17","7,319.58","6,805.96","10.16B","0.04%"
"03/01/2018","7,063.44","7,274.75","7,637.27","6,901.07","12.33B","-2.88%"
"02/01/2018","7,273.01","7,377.17","7,441.09","6,630.67","10.81B","-1.87%"
"01/01/2018","7,411.48","6,937.65","7,505.77","6,924.08","10.40B","7.36%"
"12/01/2017","6,903.39","6,844.04","7,003.89","6,734.13","10.00B","0.43%"
"11/01/2017","6,873.97","6,758.64","6,914.19","6,667.31","10.20B","2.17%"
"10/01/2017","6,727.67","6,506.08","6,737.75","6,484.14","9.64B","3.57%"
"09/01/2017","6,495.96","6,442.17","6,497.98","6,334.59","9.41B","1.05%"
"08/01/2017","6,428.66","6,372.16","6,435.27","6,177.19","9.58B","1.27%"
"07/01/2017","6,348.12","6,173.29","6,460.84","6,081.96","8.58B","3.38%"
"06/01/2017","6,140.42","6,215.91","6,341.70","6,087.81","12.50B","-0.94%"
"05/01/2017","6,198.52","6,067.56","6,221.99","5,996.81","10.24B","2.50%"
"04/01/2017","6,047.61","5,917.31","6,074.04","5,805.15","8.30B","2.30%"
"03/01/2017","5,911.74","5,874.86","5,928.06","5,769.39","11.00B","1.48%"
"02/01/2017","5,825.44","5,654.51","5,867.89","5,616.40","8.56B","3.75%"
"01/01/2017","5,614.79","5,425.62","5,669.61","5,397.99","8.38B","4.30%"
"12/01/2016","5,383.12","5,323.88","5,512.37","5,238.21","9.32B","1.12%"
"11/01/2016","5,323.68","5,199.77","5,403.86","5,034.41","9.91B","2.59%"
"10/01/2016","5,189.14","5,300.29","5,340.52","5,169.76","7.97B","-2.31%"
"09/01/2016","5,312.00","5,218.28","5,342.88","5,097.80","9.63B","1.89%"
"08/01/2016","5,213.22","5,167.42","5,275.74","5,109.80","8.79B","0.99%"
"07/01/2016","5,162.13","4,837.18","5,175.81","4,786.01","8.01B","6.60%"
"06/01/2016","4,842.67","4,928.97","4,980.14","4,574.25","10.96B","-2.13%"
"05/01/2016","4,948.06","4,786.55","4,951.45","4,678.38","9.21B","3.62%"
"04/01/2016","4,775.36","4,842.55","4,969.32","4,740.84","8.82B","-1.94%"
"03/01/2016","4,869.85","4,596.01","4,899.14","4,581.75","10.06B","6.84%"
"02/01/2016","4,557.95","4,587.59","4,636.93","4,209.76","10.51B","-1.21%"
"01/01/2016","4,613.95","4,897.65","4,926.73","4,313.39","10.70B","-7.86%"
"12/01/2015","5,007.41","5,129.64","5,176.77","4,871.59","9.86B","-1.98%"
"11/01/2015","5,108.67","5,065.64","5,163.47","4,908.66","8.40B","1.09%"
"10/01/2015","5,053.75","4,624.46","5,095.69","4,552.34","9.91B","9.38%"
"09/01/2015","4,620.16","4,673.61","4,960.87","4,487.06","10.53B","-3.27%"
"08/01/2015","4,776.51","5,134.34","5,175.26","4,292.14","10.46B","-6.86%"
"07/01/2015","5,128.28","5,029.05","5,231.94","4,901.51","9.46B","2.84%"
"06/01/2015","4,986.87","5,094.94","5,164.36","4,956.23","10.53B","-1.64%"
"05/01/2015","5,070.02","4,966.32","5,111.54","4,888.17","8.57B","2.60%"
"04/01/2015","4,941.42","4,894.36","5,119.83","4,844.39","8.96B","0.83%"
"03/01/2015","4,900.88","4,973.43","5,042.14","4,825.93","10.39B","-1.26%"
"02/01/2015","4,963.53","4,650.60","4,989.25","4,580.46","8.77B","7.08%"
"01/01/2015","4,635.24","4,760.24","4,777.01","4,563.11","10.02B","-2.13%"
